"Sample ID","Wavelength (nm)","Absorbance"
"WHI-B-1",544,0.012
"WHI-B-1",545,0.012
"WHI-B-1",546,0.012
"WHI-B-1",547,0.012
"WHI-B-1",548,0.012
"WHI-B-1",549,0.012
"WHI-B-1",550,0.012
"WHI-B-1",551,0.012
"WHI-B-1",552,0.012
"WHI-B-1",553,0.012
"WHI-B-1",554,0.011
"WHI-B-1",555,0.011
"WHI-B-1",556,0.011
"WHI-B-1",557,0.011
"WHI-B-1",558,0.011
"WHI-B-1",559,0.011
"WHI-B-1",560,0.011
"WHI-B-1",561,0.011
"WHI-B-1",562,0.011
"WHI-B-1",563,0.011
"WHI-B-1",564,0.011
"WHI-B-1",565,0.011
"WHI-B-1",566,0.011
"WHI-B-1",567,0.011
"WHI-B-1",568,0.011
"WHI-B-1",569,0.011
"WHI-B-1",570,0.011
"WHI-B-1",571,0.011
"WHI-B-1",572,0.01
"WHI-B-1",573,0.01
"WHI-B-1",574,0.01
"WHI-B-1",575,0.01
"WHI-B-1",576,0.01
"WHI-B-1",577,0.01
"WHI-B-1",578,0.01
"WHI-B-1",579,0.01
"WHI-B-1",580,0.01
"WHI-B-1",581,0.01
"WHI-B-1",582,0.01
"WHI-B-1",583,0.01
"WHI-B-1",584,0.01
"WHI-B-1",585,0.01
"WHI-B-1",586,0.01
"WHI-B-1",587,0.01
"WHI-B-1",588,0.01
"WHI-B-1",589,0.01
"WHI-B-1",590,0.01
"WHI-B-1",591,0.01
"WHI-B-1",592,0.01
"WHI-B-1",593,0.01
"WHI-B-1",594,0.01
"WHI-B-1",595,0.01
"WHI-B-1",596,0.01
"WHI-B-1",597,0.01
"WHI-B-1",598,0.01
"WHI-B-1",599,0.009
"WHI-B-1",600,0.009
"WHI-B-1",601,0.01
"WHI-B-1",602,0.009
"WHI-B-1",603,0.009
"WHI-B-1",604,0.009
"WHI-B-1",605,0.009
"WHI-B-1",606,0.009
"WHI-B-1",607,0.009
"WHI-B-1",608,0.009
"WHI-B-1",609,0.009
"WHI-B-1",610,0.009
"WHI-B-1",611,0.009
"WHI-B-1",612,0.009
