SampleID,Site,Date Sampled,OS Conference,Vegetation,Altitude (m),Pteridium aquilinium,Calunna vulgaris,Vaccinium vitis-idaea,Vaccinium mytrilus,Grass,Empetrum nigrum,Cladonia arbuscula,Moss,Galium saxatile,Erica cinaerea,Oxalis stricta,Fern,Tormentil,Thistle,Unknown3,LatitudeN,LongitudeE
WHI-H-1,Whiteside,10/09/2024,NY1655121219,Heather,408,0,100,,0,,,,5,,,,,,,,54.579263,-3.2925697
WHI-H-2,Whiteside,10/09/2024,NY1660321261,Heather,409,0,90,,10,,,,5,,,,,,,,54.579649,-3.2917774
WHI-H-3,Whiteside,10/09/2024,NY1665821311,Heather,422,0,95,,10,,,,5,,,,,,,,54.580108,-3.2909409
WHI-H-4,Whiteside,10/09/2024,NY1668821348,Heather,434,0,100,,2,,,,4,,,,,,,,54.580445,-3.2904874
WHI-H-5,Whiteside,10/09/2024,NY1672921372,Heather,439,0,95,,5,,,,5,,4,,,,,,54.580667,-3.28986
WHI-H-6,Whiteside,10/09/2024,NY1679821411,Heather,453,0,80,,8,,,,15,,5,,,,,,54.581029,-3.2888038
WHI-B-1,Whiteside,11/09/2024,NY1662921412,Bracken,409,90,0,,0,50,,,0,,,1,,,,,54.58101,-3.2914181
WHI-B-2,Whiteside,11/09/2024,NY1665421423,Bracken,413,90,0,,0,25,,,1,,,1,,,,,54.581113,-3.2910346
WHI-B-3,Whiteside,11/09/2024,NY1671721430,Bracken,440,90,0,,0,25,,,0,,,,,,,,54.581187,-3.2900621
WHI-H-7,Whiteside,11/09/2024,NY1673821445,Heather,445,0,90,,6,,,,5,,10,,,,,,54.581325,-3.2897416
WHI-H-8,Whiteside,11/09/2024,NY1678321435,Heather,452,0,100,,4,,,,3,,,,1,,,,54.581242,-3.2890427
WHI-H-9,Whiteside,11/09/2024,NY1680621477,Heather,472,0,100,,1,,,,25,,4,,,,,,54.581624,-3.2886988
WHI-H-10,Whiteside,11/09/2024,NY1684821457,Heather,482,0,100,,15,,,,1,,,,,,,,54.581451,-3.2880435
