"","Sample ID","Site","Vegetation","Mesostigmata","Oribatida","Astigmatina","Prostigmata","Symphypleona","Entomobryomorpha","Poduromorpha","Neelidae","Araneae","Enchytraeidae","Thysanoptera","Diptera","Stigmus","Chilopoda","Diplopoda","Staphylinidae","Tingidae","Lasius flavus","Coleoptera","Diplura","Parasitoid Wasp","Pseudoscorpiones","Oniscidea","Unknown","Total Mesofauna Catch","Total Invertebrate Catch","Percentage Mites","Percentage Collembola","Percentage Other","CoreVolume","1000s Individuals per m2 to 10 cm depth","Dry soil mass (g)","Individuals per 100g dry soil","Mesostigmata per 100 g dry soil mass","Oribatida per 100 g dry soil mass","Astigmatina per 100 g dry soil mass","Prostigmata per 100 g dry soil mass","Entomobryomorpha per 100 g dry soil mass","Poduromorpha per 100 g dry soil mass","Symphypleona per 100 g dry soil mass","Neelidae per 100 g dry soil mass"
"BRI-B-4","BRI-B-4","Bridestones","Bracken",13,122,86,72,0,18,7,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,318,323,90.7120743034056,7.73993808049536,1.54798761609906,0.000196349540849362,161.956070090313,63.6,500,20.440251572327,191.823899371069,135.220125786164,113.207547169811,28.3018867924528,11.0062893081761,0,0
"BRI-B-5","BRI-B-5","Bridestones","Bracken",6,73,52,20,0,38,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,192,194,77.8350515463918,21.1340206185567,1.03092783505154,0.000196349540849362,97.7847970356605,57.7,332.755632582322,10.3986135181976,126.516464471404,90.1213171577123,34.6620450606586,65.8578856152513,5.19930675909879,0,0
"BRI-B-6","BRI-B-6","Bridestones","Bracken",9,102,70,19,0,13,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,217,218,91.743119266055,7.79816513761468,0.458715596330279,0.000196349540849362,110.517192483012,102,212.745098039216,8.82352941176471,100,68.6274509803922,18.6274509803922,12.7450980392157,2.94117647058824,0,0.980392156862745
"BRI-B-7","BRI-B-7","Bridestones","Bracken",8,227,31,10,2,16,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,299,92.3076923076923,7.35785953177258,0.334448160535118,0.000196349540849362,151.770153732431,36.7,811.989100817439,21.7983651226158,618.528610354223,84.4686648501362,27.2479564032698,43.5967302452316,8.17438692098093,5.44959128065395,2.72479564032698
"BRI-B-8","BRI-B-8","Bridestones","Bracken",8,34,8,5,0,10,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,66,70,78.5714285714286,15.7142857142857,5.71428571428572,0.000196349540849362,33.6135239810083,34.7,190.201729106628,23.0547550432277,97.9827089337176,23.0547550432277,14.4092219020173,28.8184438040346,0,0,2.88184438040346
"BRI-B-9","BRI-B-9","Bridestones","Bracken",17,107,73,20,1,8,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,239,90.7949790794979,9.20502092050209,0,0.000196349540849362,121.721700476682,78.9,302.915082382763,21.5462610899873,135.614702154626,92.5221799746515,25.3485424588086,10.1394169835234,12.6742712294043,1.26742712294043,3.80228136882129
"BRI-H-1","BRI-H-1","Bridestones","Heather",93,187,77,39,0,0,24,4,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,424,435,91.0344827586207,6.4367816091954,2.5287356321839,0.000196349540849362,215.941426787084,108.2,391.866913123845,85.9519408502773,172.828096118299,71.1645101663586,36.0443622920518,0,22.181146025878,0,3.69685767097967
"BRI-H-10","BRI-H-10","Bridestones","Heather",7,83,76,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,178,179,96.6480446927374,2.79329608938547,0.558659217877093,0.000196349540849362,90.6546555851436,94.1,189.160467587673,7.43889479277365,88.2040382571732,80.7651434643996,7.43889479277365,2.12539851222104,0,3.18809776833156,0
"BRI-H-2","BRI-H-2","Bridestones","Heather",11,258,72,18,2,10,21,0,0,10,0,0,0,0,1,1,0,0,0,0,0,0,0,3,392,407,88.2063882063882,8.10810810810811,3.68550368550368,0.000196349540849362,199.643960614473,154.2,254.215304798962,7.13359273670558,167.315175097276,46.6926070038911,11.6731517509728,6.48508430609598,13.6186770428016,1.2970168612192,0
"BRI-H-3","BRI-H-3","Bridestones","Heather",10,283,45,20,0,10,7,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,379,389,92.0308483290488,5.39845758354756,2.57069408740361,0.000196349540849362,193.023114981851,38.4,986.979166666667,26.0416666666667,736.979166666667,117.1875,52.0833333333333,26.0416666666667,18.2291666666667,0,10.4166666666667
